ConstCom,TimelyInf,TaskMgm,DeviceSt,Wellness,Athlete,Style,AmznP,Female,Degree,Income,Age
3,2,3,3,2,3,3,1,1,1,2,38
6,6,6,6,5,3,1,1,0,2,3,38
7,4,4,4,6,4,1,0,0,1,3,42
7,5,4,5,5,4,4,1,0,2,5,35
7,4,2,6,3,2,4,1,0,1,3,36
2,1,3,2,2,4,3,0,1,2,2,47
7,7,3,6,3,1,4,1,1,1,5,36
7,5,6,5,2,2,3,1,0,1,3,41
6,5,6,3,5,3,5,1,0,1,2,46
5,6,6,3,5,5,3,1,0,1,3,28
6,5,6,3,7,6,6,1,1,1,3,30
7,1,6,4,7,6,6,1,1,2,4,32
7,7,4,4,4,2,4,0,0,2,3,40
7,5,3,5,3,2,3,0,0,2,3,37
4,2,3,5,6,7,6,1,1,1,2,25
6,3,6,4,3,3,5,1,0,2,3,47
7,6,3,6,4,3,3,1,1,2,3,45
5,4,5,1,2,1,4,0,0,1,1,32
4,3,4,6,5,6,6,1,0,1,2,30
4,5,4,1,2,4,4,0,0,1,1,32
7,5,6,4,6,6,6,1,1,1,5,33
3,3,6,2,5,5,4,0,0,1,1,41
5,2,6,2,5,5,3,0,1,1,1,45
7,7,6,4,3,2,4,1,1,2,3,37
1,3,5,3,2,4,3,0,1,1,2,41
1,6,2,5,5,6,6,1,1,2,4,26
6,4,6,3,3,4,5,0,1,2,3,45
7,7,5,7,3,1,3,0,0,2,5,39
7,7,6,4,5,3,5,0,0,1,3,43
6,4,4,4,6,6,6,1,1,1,4,34
4,4,4,3,3,3,4,0,1,1,2,42
3,7,6,4,7,5,6,1,1,2,4,34
6,5,7,4,6,4,6,1,1,2,5,31
2,5,2,4,5,6,4,1,0,2,3,27
6,3,3,3,5,6,4,0,0,1,1,35
4,4,1,4,4,5,4,0,1,2,4,40
6,7,5,4,2,2,3,1,0,1,5,44
6,7,4,3,6,6,6,0,0,2,2,25
6,7,3,7,5,3,3,0,1,1,3,35
4,5,5,4,2,1,4,0,1,2,2,40
7,7,5,6,5,3,3,0,0,1,4,36
3,2,3,1,2,3,3,0,1,1,3,32
6,7,3,3,6,5,6,1,1,2,3,34
7,5,4,4,6,4,4,1,1,1,3,40
7,7,5,4,7,3,6,1,1,2,5,35
5,5,4,3,4,4,5,0,1,1,3,34
5,5,4,2,5,5,4,0,1,1,3,33
7,7,5,5,6,4,3,1,0,1,4,43
1,1,3,1,2,3,4,0,1,1,3,41
5,4,6,2,5,5,4,0,1,1,1,36
6,7,4,5,5,2,3,0,0,2,5,38
5,5,6,3,6,5,5,1,0,1,2,25
5,7,3,6,5,6,4,0,1,2,2,24
7,5,6,4,1,1,3,1,1,2,3,40
6,3,6,3,6,3,4,0,1,1,2,42
6,5,6,3,6,4,7,0,1,2,2,34
6,1,6,4,7,5,6,1,1,2,4,31
7,7,5,4,6,4,6,1,1,2,5,32
7,2,6,4,7,5,6,1,1,2,5,29
3,4,5,4,2,3,3,0,1,1,4,41
4,2,6,3,5,5,5,0,1,1,2,29
7,6,6,6,2,1,4,1,1,2,3,42
6,6,6,4,4,4,3,1,0,1,4,39
3,5,4,2,3,4,3,0,1,1,3,36
4,3,6,3,3,4,4,0,1,1,3,34
7,7,5,4,6,5,7,1,1,2,4,35
6,3,6,3,6,5,4,0,1,1,4,30
5,4,6,2,4,3,3,0,1,2,3,40
3,5,5,3,1,2,4,0,1,1,1,41
7,4,5,7,5,3,3,1,1,1,3,42
2,1,2,5,3,4,3,0,1,2,3,41
6,5,5,1,4,4,4,0,1,1,1,35
7,5,5,4,7,5,7,1,1,1,5,34
7,5,1,4,6,6,3,0,1,1,4,35
7,4,4,5,5,4,4,0,0,1,3,40
5,5,4,2,5,4,5,1,1,1,3,27
6,7,2,3,6,6,6,0,1,2,3,25
4,3,1,4,3,3,3,1,1,1,3,37
4,5,5,3,2,2,3,1,1,1,4,40
5,5,2,4,5,7,4,0,1,2,3,24
4,4,3,5,6,7,6,0,1,2,4,25
3,2,4,2,5,5,5,0,1,1,3,25
5,5,5,3,4,4,5,0,1,1,4,33
7,6,7,4,7,5,7,1,1,1,4,27
4,4,2,1,4,4,4,0,1,1,4,35
6,6,4,4,5,3,4,1,1,1,4,40
5,4,6,2,3,2,3,1,1,1,1,44
4,3,3,1,4,4,4,1,1,1,1,43
3,3,3,4,1,1,4,0,1,1,1,37
6,7,6,4,7,5,5,1,1,1,4,35
6,6,6,4,7,5,7,1,1,1,3,34
3,2,6,1,4,4,3,0,1,1,3,39
4,4,3,4,7,5,5,0,1,1,4,39
6,7,5,4,5,3,6,1,1,1,3,42
7,7,6,4,6,3,5,0,0,1,3,44
4,4,6,2,4,4,3,1,0,1,3,39
2,2,4,4,2,3,3,1,1,1,2,39
7,6,3,5,5,3,4,1,0,1,3,42
5,5,6,2,2,1,4,0,1,1,2,39
6,6,6,5,4,3,3,1,1,1,3,43
5,4,5,4,1,1,3,1,1,1,2,40
7,4,6,4,3,5,7,0,1,1,4,25
4,2,6,1,6,4,5,0,1,1,2,31
3,4,6,4,2,2,4,0,1,1,4,40
5,5,5,4,6,4,4,1,1,1,3,31
3,1,4,1,3,4,3,0,0,1,4,41
7,5,6,4,6,5,7,1,1,2,3,31
4,4,6,4,7,6,4,0,1,1,3,38
5,5,2,6,5,7,4,0,0,2,5,27
